created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-03-15T14:29:08+00:00,1,28.00,"49.00

",,,,
2024-03-15T14:29:24+00:00,2,28.00,"50.00

",,,,
2024-03-15T14:29:40+00:00,3,28.00,"50.00

",,,,
2024-03-15T14:29:55+00:00,4,28.00,"49.00

",,,,
2024-03-15T14:30:12+00:00,5,28.00,"49.00

",,,,
2024-03-15T14:30:28+00:00,6,28.00,"48.00

",,,,
2024-03-15T14:30:44+00:00,7,28.00,"48.00

",,,,
2024-03-15T14:31:00+00:00,8,28.00,"48.00

",,,,
2024-03-15T14:31:16+00:00,9,28.00,"48.00

",,,,
2024-03-15T14:31:33+00:00,10,28.00,"48.00

",,,,
2024-03-15T14:31:48+00:00,11,28.00,"48.00

",,,,
2024-03-15T14:32:05+00:00,12,28.00,"48.00

",,,,
2024-03-15T14:32:21+00:00,13,28.00,"48.00

",,,,
2024-03-15T14:32:38+00:00,14,28.00,"48.00

",,,,
2024-03-15T14:32:54+00:00,15,28.00,"48.00

",,,,
2024-03-15T14:33:09+00:00,16,28.00,"48.00

",,,,
2024-03-15T14:33:25+00:00,17,28.00,"48.00

",,,,
2024-03-15T14:33:41+00:00,18,28.00,"56.00

",,,,
2024-03-15T14:33:57+00:00,19,32.30,"88.00

",,,,
2024-03-15T14:34:14+00:00,20,31.30,"87.00

",,,,
2024-03-15T14:34:30+00:00,21,30.80,"87.00

",,,,
2024-03-15T14:34:46+00:00,22,30.20,"86.00

",,,,
2024-03-15T14:35:02+00:00,23,29.80,"85.00

",,,,
2024-03-15T14:35:17+00:00,24,29.30,"83.00

",,,,
2024-03-15T14:35:33+00:00,25,29.30,"81.00

",,,,
2024-03-15T14:35:49+00:00,26,29.30,"79.00

",,,,
2024-03-15T14:36:05+00:00,27,29.30,"77.00

",,,,
2024-03-15T14:36:21+00:00,28,28.90,"74.00

",,,,
2024-03-15T14:36:38+00:00,29,28.90,"72.00

",,,,
